"leaid","enr_tot_d","region_d","nschools_elig","epp_d_imp","nschools","enr_tot_imp_avg_d","sme_pct_frp_avg_d","strat_d","distance_d_y","lottery_d_start","lottery_d_end"
100006,5652,3,1,9624.58203125,15,557,0.867145419120789,"1",0.151810050010681,38534,38534
100007,13952,3,9,10755.560546875,17,606.222229003906,0.295140147209167,"4",0.207987368106842,34744,34752
100008,11290,3,7,9340.2294921875,11,695.142883300781,0.201160043478012,"4",0.199962705373764,38785,38791
100013,4693,3,3,9857.2373046875,5,670.666687011719,0.088957279920578,"4",0.215106651186943,29003,29005
100060,1794,3,1,8891.62890625,3,1026,0.622807025909424,"5",0.103280089795589,4904,4904
100090,1947,3,3,11343.1611328125,7,341.333343505859,0.883947193622589,"1",0.146235346794128,21087,21089
100120,4284,3,1,8274.65234375,9,585,0.194871798157692,"4",0.201075822114944,23611,23611
100180,1526,3,1,9405.337890625,3,602,0.687707662582397,"3",0.120375044643879,28768,28768
100188,1154,3,1,9372.1591796875,3,617,0.858995139598846,"1",0.15388797223568,10413,10413
100189,1533,3,1,9146.7890625,2,763,0.357798159122467,"4",0.219474509358406,24151,24151
100194,3306,3,2,10170.38671875,4,764,0.411485821008682,"5",0.109229482710361,2955,2956
100199,298,3,1,9528.369140625,1,298,0.402684569358826,"5",0.10931620746851,15202,15202
100240,9094,3,3,8118.83544921875,15,585.666687011719,0.705588340759277,"3",0.119248881936073,12009,12011
100270,32267,3,20,9068.82421875,45,624,0.473685175180435,"5",0.100303992629051,40526,40545
100330,3618,3,5,10896.5322265625,9,374,0.820981740951538,"3",0.124157123267651,38774,38778
100360,3236,3,1,9253.72265625,9,200,0.605000019073486,"5",0.0966797545552254,41089,41089
100390,23041,3,28,10760.65625,52,521.142883300781,0.824767589569092,"3",0.125994279980659,35439,35466
100420,7651,3,6,8833.18359375,17,584.333312988281,0.609682679176331,"5",0.0970516353845596,19956,19961
100510,3015,3,2,9062.599609375,7,421,0.662363946437836,"3",0.12260589748621,39989,39990
100540,8548,3,4,9397.83984375,19,556,0.610972046852112,"5",0.0962532088160515,19520,19523
100600,3545,3,4,9296.0830078125,11,320.75,0.781754493713379,"3",0.121067203581333,1273,1276
100630,3934,3,4,9419.7958984375,8,583.25,0.628967702388763,"5",0.0990699157118797,17687,17690
100660,7837,3,4,8505.9306640625,14,620.75,0.598627507686615,"5",0.096242181956768,2143,2146
100690,1300,3,2,10529.287109375,4,339.5,0.765880525112152,"3",0.117085658013821,20315,20316
100750,1868,3,2,8900.826171875,4,519.5,0.677093744277954,"3",0.12168887257576,19066,19067
100780,2512,3,2,8860.75,9,231,0.642857134342194,"3",0.126950651407242,24663,24664
100810,2388,3,3,9387.3369140625,4,648.333312988281,0.564261376857758,"5",0.0905185118317604,38052,38054
100840,2668,3,5,11507.4453125,8,316.200012207031,0.677272915840149,"3",0.11908196657896,2299,2303
100870,1941,3,5,10417.6533203125,8,285,0.700001418590546,"3",0.116319574415684,34952,34956
100900,857,3,1,10218.3671875,4,477,0.675052404403687,"3",0.119924306869507,42655,42655
100930,3082,3,5,9208.2666015625,9,384.399993896484,0.589476346969604,"5",0.0926704853773117,35799,35803
100960,2248,3,3,8977.322265625,4,749.333312988281,0.639023065567017,"5",0.102718204259872,10430,10432
101020,9468,3,8,9496.04296875,28,396.875,0.614748775959015,"5",0.0957997366786003,40517,40524
101050,3189,3,3,8848.8037109375,8,484.333343505859,0.55975204706192,"5",0.0888972729444504,35204,35206
101080,1087,3,1,9682.5703125,2,627,0.746411502361298,"3",0.117195338010788,19455,19455
101110,3027,3,4,11135.453125,12,256,0.724250197410584,"3",0.112513884902,39701,39704
101140,8835,3,10,9457.275390625,16,684.900024414063,0.680043935775757,"3",0.122236326336861,38025,38034
101170,8699,3,10,10150.92578125,22,365.100006103516,0.718542635440826,"3",0.113198205828667,2626,2635
101230,8967,3,11,9155.2158203125,19,425.909088134766,0.717349052429199,"3",0.114685475826263,18047,18057
101260,622,3,1,11344.208984375,3,331,0.679758310317993,"3",0.11837662011385,9499,9499
101290,11433,3,1,8263.466796875,15,932,0.298283249139786,"4",0.213758900761604,16498,16498
101320,6723,3,1,8726.318359375,10,749,0.471295058727264,"5",0.102321855723858,29742,29742
101350,4234,3,3,10063.205078125,12,303,0.596350610256195,"5",0.0934103354811668,34360,34362
101380,8486,3,10,8433.4775390625,24,375.299987792969,0.564838111400604,"5",0.0902006402611732,21172,21181
101410,5427,3,1,6715.87744140625,6,2798,0.498570412397385,"5",0.121445767581463,29830,29830
101440,1549,3,3,10253.4482421875,6,275.666656494141,0.810561180114746,"3",0.124449595808983,13154,13156
101470,2302,3,2,9139.3681640625,6,374.5,0.602558732032776,"5",0.0947238579392433,4085,4086
101590,3674,3,6,9353.2021484375,9,479.666656494141,0.679369270801544,"3",0.120404869318008,28542,28547
101620,5194,3,8,9729.7822265625,15,331.625,0.711703062057495,"3",0.115031845867634,3701,3708
101640,1249,3,1,10021.2763671875,3,577,0.488734841346741,"5",0.0965045168995857,6585,6585
101660,2750,3,3,9075.67578125,10,445.666656494141,0.660251259803772,"3",0.123138710856438,41026,41028
101710,2488,3,2,9255.07421875,7,609.5,0.722067356109619,"3",0.115727603435516,15868,15869
101720,1619,3,1,9345.88671875,4,769,0.63719117641449,"5",0.102197527885437,20917,20917
101740,2466,3,2,8788.2685546875,6,582.5,0.641350984573364,"5",0.101612880825996,23240,23241
101760,4292,3,3,11389.208984375,5,678.333312988281,0.225202023983002,"4",0.199502885341644,6812,6814
101770,6418,3,5,8766.1025390625,12,790.400024414063,0.620578765869141,"5",0.10075618326664,16566,16570
101800,23993,3,26,10732.4150390625,41,572.461547851563,0.562072575092316,"5",0.088358111679554,14869,14894
101830,5337,3,11,9906.7646484375,19,352.909088134766,0.660945773124695,"3",0.121850609779358,12051,12061
101860,1622,3,1,9270.4404296875,2,906,0.533112585544586,"5",0.0943907648324966,16443,16443
101920,36246,3,24,9107.0751953125,59,511,0.609822452068329,"5",0.0959978327155113,2665,2688
101950,2290,3,2,8691.884765625,5,669,0.553314805030823,"5",0.0900223553180695,25746,25747
101980,925,3,1,9932.2802734375,3,590,0.866101682186127,"1",0.151909098029137,4909,4909
102010,8275,3,9,8794.744140625,11,835.333312988281,0.4121253490448,"5",0.111555136740208,41352,41360
102040,4662,3,4,9330.1611328125,15,261,0.706795215606689,"3",0.116935178637505,29730,29733
102070,9514,3,6,9411.99609375,14,695.833312988281,0.564533293247223,"5",0.0910028293728828,23854,23859
102100,10612,3,8,9120.3173828125,17,617.25,0.612178266048431,"5",0.0973827019333839,1758,1765
102130,477,3,1,10931.173828125,3,211,0.810426533222198,"3",0.124239765107632,41732,41732
102160,1328,3,3,12813.66015625,8,203.33332824707,0.955346941947937,"1",0.145658120512962,4776,4778
102190,1872,3,2,11858.6259765625,7,200.5,0.964461028575897,"1",0.145806774497032,19931,19932
102220,19093,3,11,8782.0380859375,29,580.545471191406,0.410709649324417,"5",0.109219908714294,26296,26306
102250,1002,3,3,10917.9384765625,3,334,0.825884103775024,"3",0.125231802463531,11922,11924
102310,3289,3,4,9350.8037109375,12,230.75,0.669328808784485,"3",0.122565105557442,19558,19561
102370,53967,3,49,9379.7236328125,90,522.89794921875,0.762153506278992,"3",0.118775740265846,35565,35613
102400,3355,3,4,9438.6962890625,9,516.5,0.717464029788971,"3",0.115226075053215,5110,5113
102430,28890,3,29,9105.072265625,55,467.965515136719,0.748976171016693,"3",0.116682648658752,25930,25958
102480,7574,3,7,9714.6943359375,19,392.285705566406,0.572150647640228,"5",0.089489720761776,40710,40716
102490,4346,3,4,13303.4765625,6,569,0.00652955891564488,"4",0.228930160403252,36556,36559
102550,1503,3,1,8209.115234375,3,675,0.475555568933487,"5",0.101611644029617,13317,13317
102670,1289,3,2,10101.94140625,2,644.5,0.90938013792038,"1",0.146062657237053,42512,42513
102700,7146,3,5,8916.4892578125,12,550.200012207031,0.812085032463074,"3",0.126755610108376,18061,18065
102730,2524,3,2,9461.0966796875,8,553,0.71975302696228,"3",0.11523711681366,35159,35160
102760,1151,3,1,8628.33984375,3,547,0.612431466579437,"5",0.0973236784338951,6249,6249
102790,2203,3,3,10903.8642578125,7,441.333343505859,0.760562539100647,"3",0.115845166146755,13454,13456
102820,2160,3,3,9616.615234375,8,308.333343505859,0.628964424133301,"5",0.0985686108469963,32484,32486
102880,3447,3,3,9427.1845703125,8,345.666656494141,0.739581048488617,"3",0.114630520343781,15492,15494
102970,3046,3,7,9548.06640625,12,216,0.899125337600708,"1",0.147544205188751,40594,40600
103030,20570,3,8,9725.6298828125,31,511.75,0.440497487783432,"5",0.103107534348965,20480,20487
103062,9464,3,4,8462.5166015625,19,569,0.502667486667633,"5",0.0963627547025681,31184,31187
103090,1348,3,3,11402.1669921875,6,290.666656494141,0.899216771125793,"1",0.14448869228363,41607,41609
